"filename", "language", "PHP", "JSON with Comments", "XML", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "Ignore", "JavaScript", "YAML", "comment", "blank", "total"
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\alert-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 2, 11, 251
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-logo-icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-sidebar-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\app-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 6, 66
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\appearance-dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 68
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\appearance-tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\breadcrumbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 2, 50
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\delete-user.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 9, 121
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\heading-small.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\heading.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\input-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\nav-footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 2, 54
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\nav-main.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\nav-user.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\text-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\two-factor-recovery-codes.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 11, 165
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\two-factor-setup-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 24, 339
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 7, 67
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 11, 110
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 9, 69
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\code-display.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 13, 134
"d:\PROYECTOCALENDARIO\proyectogiftcard\resources\js\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 18, 256
